gene_id	baseMn	l2fc	lfcSE	stat	pval	padj
MCTP1	2.13e+01	1.11	0.29	3.85e+00	1.16e-24	0.00e+00
TMEM213	3.95e+00	1.96	0.56	3.47e+00	5.26e-04	1.00e+00
SFR1	3.31e+01	0.65	0.20	3.28e+00	1.05e-03	1.00e+00
CYP2C9	1.51e+00	3.22	1.01	3.18e+00	1.48e-03	1.00e+00
EFNA2	1.99e+01	0.90	0.29	3.07e+00	2.14e-03	1.00e+00
WAS	2.42e+00	2.92	0.95	3.07e+00	2.17e-03	1.00e+00
CRX	1.12e+01	1.01	0.34	3.01e+00	2.58e-03	1.00e+00
ZBTB44	2.24e+02	0.34	0.11	3.00e+00	2.69e-03	1.00e+00
PTGS2	3.82e+01	0.56	0.19	2.99e+00	2.80e-03	1.00e+00
TMTC1	6.77e+01	0.49	0.17	2.95e+00	3.16e-03	1.00e+00
CYP4V2	2.73e+01	0.69	0.24	2.91e+00	3.58e-03	1.00e+00
KIAA0319	1.49e+00	3.84	1.34	2.87e+00	4.04e-03	1.00e+00
AFF3	6.52e+00	1.29	0.45	2.87e+00	4.04e-03	1.00e+00
GLRA2	2.30e+00	2.17	0.76	2.85e+00	4.39e-03	1.00e+00
SMIM38	3.07e+00	2.18	0.77	2.84e+00	4.54e-03	1.00e+00
TBXA2R	9.48e+01	0.40	0.14	2.83e+00	4.60e-03	1.00e+00
PCDHB1	3.49e+00	1.88	0.67	2.82e+00	4.83e-03	1.00e+00
NPIPA8	3.38e+01	0.76	0.27	2.80e+00	5.05e-03	1.00e+00
CCZ1	2.59e+02	0.39	0.14	2.77e+00	5.62e-03	1.00e+00
IGFL4	2.72e+02	0.39	0.14	2.71e+00	6.66e-03	1.00e+00
TTC39B	4.71e+01	0.61	0.23	2.70e+00	6.89e-03	1.00e+00
LTB4R	1.22e+01	0.87	0.32	2.69e+00	7.22e-03	1.00e+00
ZNF76	8.75e+01	0.36	0.13	2.68e+00	7.37e-03	1.00e+00
NPIPB9	8.79e+00	1.18	0.44	2.67e+00	7.56e-03	1.00e+00
ITGBL1	2.11e+00	2.24	0.84	2.67e+00	7.58e-03	1.00e+00
TMEM121B	1.83e+02	0.29	0.11	2.64e+00	8.28e-03	1.00e+00
SPSB1	2.58e+01	0.67	0.25	2.64e+00	8.39e-03	1.00e+00
DMAC2L	3.35e+01	0.58	0.22	2.62e+00	8.79e-03	1.00e+00
MPPED2	6.86e+01	0.47	0.18	2.62e+00	8.92e-03	1.00e+00
TNFAIP2	9.10e+01	0.39	0.15	2.59e+00	9.64e-03	1.00e+00
IPMK	2.56e+02	0.23	0.09	2.57e+00	1.00e-02	1.00e+00
LMX1B	1.46e+00	2.80	1.09	2.57e+00	1.02e-02	1.00e+00
ICOSLG	8.12e+01	0.48	0.19	2.57e+00	1.02e-02	1.00e+00
SLC35D1	1.07e+02	0.34	0.13	2.56e+00	1.04e-02	1.00e+00
PABIR1	1.10e+02	0.32	0.13	2.56e+00	1.05e-02	1.00e+00
SIKE1	3.60e+02	0.24	0.09	2.54e+00	1.11e-02	1.00e+00
FOXA1	4.90e+01	0.49	0.19	2.53e+00	1.12e-02	1.00e+00
IL12RB1	3.49e+00	2.03	0.81	2.52e+00	1.17e-02	1.00e+00
C1orf53	1.16e+00	2.71	1.08	2.52e+00	1.18e-02	1.00e+00
ASB11	1.86e+00	2.58	1.03	2.52e+00	1.18e-02	1.00e+00
PCDHB3	3.92e+01	0.55	0.22	2.52e+00	1.18e-02	1.00e+00
SYDE1	5.79e+01	0.50	0.20	2.52e+00	1.18e-02	1.00e+00
ZNF850	1.24e+02	0.32	0.13	2.51e+00	1.19e-02	1.00e+00
FUT9	2.97e+00	1.98	0.79	2.51e+00	1.22e-02	1.00e+00
MR1	8.59e+00	1.51	0.60	2.51e+00	1.22e-02	1.00e+00
SPN	1.12e+01	0.79	0.32	2.50e+00	1.26e-02	1.00e+00
DSC3	1.33e+01	0.75	0.30	2.49e+00	1.26e-02	1.00e+00
UBE2C	5.51e+01	0.53	0.22	2.49e+00	1.29e-02	1.00e+00
SLC16A6	1.57e+01	0.77	0.31	2.48e+00	1.30e-02	1.00e+00
PLA2G2D	1.42e+00	3.09	1.25	2.48e+00	1.31e-02	1.00e+00
ZNF557	6.83e+01	0.39	0.16	2.48e+00	1.31e-02	1.00e+00
CD302	5.38e+01	0.47	0.19	2.48e+00	1.33e-02	1.00e+00
DPY19L2	4.11e+01	0.64	0.26	2.46e+00	1.39e-02	1.00e+00
VIT	6.37e+00	1.36	0.55	2.45e+00	1.41e-02	1.00e+00
AP5B1	1.08e+02	0.33	0.13	2.44e+00	1.48e-02	1.00e+00
PPP1R3E	1.93e+01	0.60	0.25	2.43e+00	1.52e-02	1.00e+00
ADAMTS2	3.43e+00	1.44	0.59	2.42e+00	1.55e-02	1.00e+00
ZNF383	8.98e+01	0.29	0.12	2.42e+00	1.55e-02	1.00e+00
SLAIN1	2.34e+01	0.61	0.25	2.42e+00	1.56e-02	1.00e+00
BNC2	1.06e+02	0.92	0.38	2.41e+00	1.58e-02	1.00e+00
MGAT4C	1.34e+01	0.92	0.38	2.41e+00	1.58e-02	1.00e+00
GULP1	1.07e+02	0.37	0.16	2.41e+00	1.61e-02	1.00e+00
NADK	5.25e+02	0.17	0.07	2.41e+00	1.62e-02	1.00e+00
UAP1	1.98e+02	0.25	0.10	2.38e+00	1.74e-02	1.00e+00
CLDN16	1.25e+00	3.28	1.38	2.37e+00	1.76e-02	1.00e+00
SMIM10L2B	1.19e+01	0.90	0.38	2.37e+00	1.77e-02	1.00e+00
ARHGEF39	1.63e+01	0.63	0.27	2.37e+00	1.79e-02	1.00e+00
SLC9A2	2.43e+00	2.03	0.86	2.37e+00	1.80e-02	1.00e+00
ZBTB37	2.42e+02	0.32	0.13	2.36e+00	1.83e-02	1.00e+00
SAMD10	1.04e+01	1.01	0.43	2.36e+00	1.84e-02	1.00e+00
COL22A1	1.34e+00	2.64	1.12	2.35e+00	1.86e-02	1.00e+00
PCDHA13	2.74e+00	1.93	0.82	2.35e+00	1.87e-02	1.00e+00
OR2C3	3.15e+01	0.73	0.31	2.35e+00	1.87e-02	1.00e+00
RBMS2	4.38e+02	0.24	0.10	2.34e+00	1.92e-02	1.00e+00
NAIF1	1.56e+02	0.32	0.14	2.34e+00	1.93e-02	1.00e+00
ZNF180	1.04e+02	0.29	0.12	2.34e+00	1.93e-02	1.00e+00
VANGL2	6.75e+02	0.21	0.09	2.34e+00	1.95e-02	1.00e+00
PDXK	2.95e+02	0.22	0.09	2.33e+00	2.00e-02	1.00e+00
TIAM1	5.32e+02	0.20	0.08	2.32e+00	2.01e-02	1.00e+00
JAKMIP1	1.58e+00	2.80	1.21	2.31e+00	2.06e-02	1.00e+00
FAM126B	4.07e+02	0.28	0.12	2.32e+00	2.06e-02	1.00e+00
TBX2	4.92e+00	1.18	0.51	2.31e+00	2.07e-02	1.00e+00
RASSF9	5.22e+01	0.43	0.19	2.30e+00	2.15e-02	1.00e+00
STAC2	1.02e+00	2.95	1.29	2.30e+00	2.17e-02	1.00e+00
CRISPLD2	4.69e+00	1.22	0.53	2.29e+00	2.22e-02	1.00e+00
ORAI1	5.72e+01	0.47	0.20	2.29e+00	2.22e-02	1.00e+00
SMIM27	2.74e+00	1.55	0.68	2.29e+00	2.23e-02	1.00e+00
OR10G3	5.08e+00	1.43	0.63	2.28e+00	2.26e-02	1.00e+00
PROSER3	2.98e+01	0.56	0.24	2.28e+00	2.26e-02	1.00e+00
ETS2	8.19e+02	0.22	0.10	2.26e+00	2.38e-02	1.00e+00
STXBP4	7.20e+01	0.37	0.16	2.26e+00	2.39e-02	1.00e+00
OR11A1	1.54e+00	2.47	1.10	2.26e+00	2.41e-02	1.00e+00
ZKSCAN3	7.04e+01	0.33	0.15	2.26e+00	2.41e-02	1.00e+00
CCDC122	2.46e+01	0.55	0.24	2.24e+00	2.49e-02	1.00e+00
CLEC17A	1.51e+00	2.81	1.25	2.24e+00	2.52e-02	1.00e+00
CRLS1	2.14e+02	0.25	0.11	2.24e+00	2.54e-02	1.00e+00
HHIP	1.30e+00	2.63	1.18	2.23e+00	2.57e-02	1.00e+00
CCBE1	4.19e+00	1.60	0.72	2.23e+00	2.57e-02	1.00e+00
MYOG	4.82e+00	1.14	0.51	2.23e+00	2.57e-02	1.00e+00
SERPINB9	1.70e+03	0.16	0.07	2.23e+00	2.60e-02	1.00e+00
DTD2	8.85e+01	0.29	0.13	2.22e+00	2.62e-02	1.00e+00
PEX26	3.13e+02	0.22	0.10	2.22e+00	2.62e-02	1.00e+00
ANKDD1B	3.50e+00	1.49	0.67	2.22e+00	2.64e-02	1.00e+00
ZNF555	7.63e+01	0.29	0.13	2.22e+00	2.66e-02	1.00e+00
METTL2A	2.07e+02	0.22	0.10	2.22e+00	2.66e-02	1.00e+00
ZMYM6	9.94e+01	0.28	0.13	2.22e+00	2.67e-02	1.00e+00
TAPBP	3.36e+02	0.20	0.09	2.21e+00	2.70e-02	1.00e+00
GLI2	2.32e+00	1.63	0.74	2.21e+00	2.72e-02	1.00e+00
PSD4	9.01e+00	0.94	0.43	2.21e+00	2.72e-02	1.00e+00
IL1B	1.34e+01	0.80	0.36	2.20e+00	2.77e-02	1.00e+00
XIAP	5.63e+02	0.22	0.10	2.20e+00	2.81e-02	1.00e+00
GXYLT2	3.10e+01	0.62	0.29	2.19e+00	2.87e-02	1.00e+00
SPAG16	8.21e+01	0.33	0.15	2.19e+00	2.88e-02	1.00e+00
L3MBTL4	5.44e+00	1.17	0.54	2.18e+00	2.94e-02	1.00e+00
DHRS4L2	1.01e+02	0.38	0.17	2.18e+00	2.95e-02	1.00e+00
RGL4	1.33e+01	0.64	0.30	2.17e+00	2.97e-02	1.00e+00
CD47	6.04e+02	0.22	0.10	2.17e+00	2.98e-02	1.00e+00
UBL3	1.90e+02	0.24	0.11	2.17e+00	2.99e-02	1.00e+00
TMEM233	4.73e+01	0.42	0.19	2.17e+00	3.01e-02	1.00e+00
FANCB	3.13e+01	0.47	0.22	2.17e+00	3.02e-02	1.00e+00
ZNF431	1.68e+02	0.26	0.12	2.16e+00	3.06e-02	1.00e+00
TMEM161B	5.00e+01	0.43	0.20	2.16e+00	3.10e-02	1.00e+00
NLRP10	1.70e+00	2.22	1.03	2.16e+00	3.11e-02	1.00e+00
ALG13	1.94e+02	0.19	0.09	2.15e+00	3.13e-02	1.00e+00
H2AC15	1.36e+00	2.25	1.05	2.15e+00	3.14e-02	1.00e+00
CFAP157	6.98e+00	1.06	0.49	2.15e+00	3.16e-02	1.00e+00
MDM4	2.00e+02	0.27	0.12	2.15e+00	3.16e-02	1.00e+00
ZDHHC4	1.39e+02	0.26	0.12	2.15e+00	3.19e-02	1.00e+00
AP5Z1	2.83e+02	0.24	0.11	2.15e+00	3.19e-02	1.00e+00
OR14J1	6.86e+01	0.40	0.19	2.14e+00	3.20e-02	1.00e+00
HECA	5.64e+02	0.21	0.10	2.14e+00	3.20e-02	1.00e+00
DDT	7.32e+01	0.35	0.16	2.14e+00	3.22e-02	1.00e+00
FAM161A	1.02e+02	0.29	0.14	2.13e+00	3.31e-02	1.00e+00
CYP1B1	1.39e+03	0.29	0.14	2.13e+00	3.35e-02	1.00e+00
GLB1L2	4.18e+00	1.70	0.80	2.12e+00	3.40e-02	1.00e+00
GDPGP1	1.47e+01	0.61	0.29	2.12e+00	3.40e-02	1.00e+00
ALG9	1.37e+02	0.22	0.10	2.12e+00	3.41e-02	1.00e+00
OR51E2	1.83e+00	2.87	1.36	2.12e+00	3.43e-02	1.00e+00
FUT6	3.21e+00	1.52	0.72	2.11e+00	3.45e-02	1.00e+00
RAVER1	2.23e+02	0.20	0.10	2.11e+00	3.45e-02	1.00e+00
H4C2	1.20e+00	2.50	1.18	2.11e+00	3.46e-02	1.00e+00
CMA1	9.95e-01	3.21	1.52	2.11e+00	3.47e-02	1.00e+00
NUDT15	2.23e+02	0.19	0.09	2.11e+00	3.47e-02	1.00e+00
IL17RA	4.47e+02	0.17	0.08	2.11e+00	3.51e-02	1.00e+00
TXNDC2	2.64e+00	1.56	0.74	2.11e+00	3.52e-02	1.00e+00
PRDM5	5.00e+01	0.34	0.16	2.10e+00	3.56e-02	1.00e+00
SLC8A3	2.72e+01	0.48	0.23	2.10e+00	3.57e-02	1.00e+00
ARFGAP3	5.63e+02	0.15	0.07	2.10e+00	3.59e-02	1.00e+00
CARNMT1	5.25e+02	0.21	0.10	2.10e+00	3.61e-02	1.00e+00
RABL2A	2.22e+01	0.79	0.38	2.09e+00	3.66e-02	1.00e+00
TCAIM	1.54e+02	0.25	0.12	2.09e+00	3.66e-02	1.00e+00
WDR90	1.84e+01	0.63	0.30	2.09e+00	3.68e-02	1.00e+00
MYLK3	6.73e+00	1.20	0.58	2.09e+00	3.69e-02	1.00e+00
NOPCHAP1	3.45e+02	0.34	0.16	2.08e+00	3.71e-02	1.00e+00
POGLUT1	1.42e+02	0.23	0.11	2.08e+00	3.74e-02	1.00e+00
SLC19A2	1.11e+02	0.28	0.13	2.08e+00	3.77e-02	1.00e+00
BEST3	7.11e+00	0.88	0.42	2.07e+00	3.82e-02	1.00e+00
SMAD3	6.92e+02	0.16	0.08	2.07e+00	3.82e-02	1.00e+00
PCOTH	1.96e+00	2.22	1.07	2.07e+00	3.83e-02	1.00e+00
ZNF766	1.72e+02	0.22	0.11	2.07e+00	3.83e-02	1.00e+00
YIPF4	4.47e+02	0.20	0.10	2.07e+00	3.83e-02	1.00e+00
ZNF460	3.80e+01	0.48	0.23	2.07e+00	3.85e-02	1.00e+00
PARVG	3.01e+00	1.33	0.65	2.07e+00	3.89e-02	1.00e+00
PLIN5	1.14e+00	2.34	1.13	2.06e+00	3.91e-02	1.00e+00
ZNF585B	4.48e+01	0.46	0.22	2.06e+00	3.92e-02	1.00e+00
IFITM1	5.95e+00	1.30	0.63	2.05e+00	4.00e-02	1.00e+00
LYSMD1	3.75e+01	0.44	0.21	2.05e+00	4.00e-02	1.00e+00
ZNF101	1.89e+02	0.18	0.09	2.05e+00	4.00e-02	1.00e+00
ZNF827	1.65e+02	0.22	0.11	2.05e+00	4.07e-02	1.00e+00
NSG1	1.53e+00	1.89	0.93	2.05e+00	4.08e-02	1.00e+00
CIDEA	9.86e-01	2.84	1.39	2.04e+00	4.09e-02	1.00e+00
PANK2	3.99e+02	0.18	0.09	2.04e+00	4.10e-02	1.00e+00
TMEM184B	2.07e+02	0.21	0.10	2.04e+00	4.15e-02	1.00e+00
HLA-G	3.47e+00	1.35	0.66	2.04e+00	4.17e-02	1.00e+00
SLC14A1	2.87e+00	1.65	0.81	2.04e+00	4.18e-02	1.00e+00
MEIOC	3.53e+00	1.17	0.57	2.03e+00	4.19e-02	1.00e+00
SH2D3A	2.15e+00	1.95	0.96	2.03e+00	4.24e-02	1.00e+00
BST2	3.36e+02	0.23	0.11	2.03e+00	4.24e-02	1.00e+00
DLX2	9.38e+00	0.86	0.43	2.02e+00	4.34e-02	1.00e+00
KIAA0895L	5.47e+01	0.37	0.19	2.02e+00	4.35e-02	1.00e+00
ZNF8	8.73e+01	0.28	0.14	2.02e+00	4.37e-02	1.00e+00
GSTCD	1.75e+02	0.27	0.13	2.01e+00	4.47e-02	1.00e+00
C21orf62	3.21e+00	1.34	0.67	2.00e+00	4.51e-02	1.00e+00
WDR53	1.23e+02	0.27	0.14	2.00e+00	4.53e-02	1.00e+00
DBP	3.20e+00	1.28	0.64	2.00e+00	4.54e-02	1.00e+00
SMIM41	2.85e+00	1.53	0.77	2.00e+00	4.58e-02	1.00e+00
ATXN3	1.84e+02	0.25	0.12	2.00e+00	4.60e-02	1.00e+00
MFSD4B	3.51e+02	0.27	0.13	1.99e+00	4.61e-02	1.00e+00
NDN	2.80e+02	0.23	0.12	1.99e+00	4.62e-02	1.00e+00
C2orf92	3.23e+00	1.41	0.71	1.99e+00	4.63e-02	1.00e+00
RC3H1	2.14e+02	0.25	0.13	1.99e+00	4.63e-02	1.00e+00
SLC9A7	9.10e+01	0.28	0.14	1.99e+00	4.65e-02	1.00e+00
RUNDC1	1.21e+02	0.23	0.12	1.99e+00	4.65e-02	1.00e+00
WIZ	1.64e+02	0.22	0.11	1.99e+00	4.65e-02	1.00e+00
BLOC1S3	3.10e+01	0.46	0.23	1.99e+00	4.67e-02	1.00e+00
ABCA5	1.59e+02	0.21	0.10	1.99e+00	4.67e-02	1.00e+00
LBHD1	8.90e+01	0.32	0.16	1.99e+00	4.69e-02	1.00e+00
ZNF146	1.09e+03	0.23	0.12	1.99e+00	4.69e-02	1.00e+00
SLC13A4	1.57e+00	2.00	1.01	1.99e+00	4.71e-02	1.00e+00
COL5A3	9.51e+01	0.37	0.18	1.98e+00	4.73e-02	1.00e+00
EEF1AKMT4	1.21e+01	0.73	0.37	1.98e+00	4.74e-02	1.00e+00
IRF6	4.69e+02	0.20	0.10	1.98e+00	4.75e-02	1.00e+00
LENG1	1.15e+02	0.32	0.16	1.98e+00	4.76e-02	1.00e+00
KLHL33	5.33e+00	1.29	0.65	1.98e+00	4.77e-02	1.00e+00
DNAJC24	1.04e+02	0.24	0.12	1.98e+00	4.80e-02	1.00e+00
APRT	1.27e+02	0.30	0.15	1.97e+00	4.86e-02	1.00e+00
ELP6	2.04e+02	0.19	0.10	1.97e+00	4.87e-02	1.00e+00
CTRC	4.26e+00	1.12	0.57	1.97e+00	4.88e-02	1.00e+00
PTPRU	4.01e+01	0.35	0.18	1.97e+00	4.91e-02	1.00e+00
TCTN2	8.75e+01	0.34	0.17	1.97e+00	4.91e-02	1.00e+00
ZMYM1	1.03e+02	0.27	0.14	1.97e+00	4.91e-02	1.00e+00
OR7D4	3.48e+00	1.27	0.64	1.97e+00	4.92e-02	1.00e+00
TRAF1	1.37e+01	0.67	0.34	1.97e+00	4.93e-02	1.00e+00
DNAL1	1.13e+02	0.28	0.14	1.96e+00	4.95e-02	1.00e+00
OR7A17	2.42e+00	1.46	0.74	1.96e+00	4.97e-02	1.00e+00
OR4D9	4.49e+00	1.31	0.67	1.96e+00	4.97e-02	1.00e+00
DALRD3	3.13e+01	0.49	0.25	1.96e+00	4.97e-02	1.00e+00
ZNF134	1.86e+02	0.21	0.11	1.96e+00	4.98e-02	1.00e+00
STK36	1.24e+02	0.25	0.13	1.96e+00	5.00e-02	1.00e+00
