	F16_04	F16_05	F16_09	F16_10	F16_15	F16_21	F16_31	F16_35	F16_49	F16_51	F18_02	F18_03	F18_07	F18_09	F18_12	F18_16	F18_18	F18_19	F18_21	F18_25	F18_26	F18_35	F18_39	F18_41	F18_44	F18_49	F18_57	F18_58	F18_65	F18_72	F18_74	F18_75	F18_76	P01_01	P01_02	P01_04	P01_05	P01_16	P01_21	P01_26	P01_27	P01_32	P01_33	TEP_01	TEP_02	TEP_03	TEP_04	TEP_05	TEP_06	TEP_07	TEP_08	TEP_09	TEP_10	TEP_11	TEP_12	TEP_13	TEP_14	TEP_15	TEP_16	TEP_17	TEP_18	TEP_19	TEP_20	TEP_21	TEP_22	TEP_23	TEP_24	TEP_25	TEP_26	TEP_27	TEP_28	TEP_29	TEP_30	TEP_31	TEP_32	TEP_33	TEP_34	TEP_35	TEP_36	TEP_37	TEP_38	TEP_39	TEP_40	TEP_42	TEP_43	TEP_44	TEP_45	TEP_46	TEP_47	TEP_48	TEP_49	TEP_50	TEP_51	TEP_52	TEP_53	TEP_54	TEP_55	TEP_56	TEP_57	TEP_58	TEP_60	TEP_61	TEP_62	TEP_63	TEP_64	TEP_65	TEP_66	TEP_67	TEP_68	TEP_69
ENPEP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.04742029357898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	879.295802390118	0.0	0.0	0.0	0.0	0.679459769187964	0.0	28.6799528239541	0.0	0.0	548.478992524347	0.901619631978377	0.766890002017875	0.0	0.0	0.0	0.0	9.51487207106915	0.0	0.0	0.73343070504467	0.0	10.7664286562	0.0	1.33694876441159	3819.07924244875	0.859055926047307	0.755587921438566	0.0	0.0	0.0	60.0218235452151	0.646811427499549	1864.07948463137	0.0	0.0	804.741913373825	0.734921523036786	0.0	0.0	22.2885336777895	0.0	3.60968803856222	0.0	0.0	74.2562783276367	0.0	1121.18385463941	28.9897817075534	0.0	0.0	0.0	0.0	0.0	0.0	285.565603799806	0.0	0.0	21.2217326553064	0.0	1.34505078274738	0.670964058855912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.886967062960382	1.22358022054394
LY75	4.21449337357695	1.26366896704254	0.761674137581665	1.40997514916126	0.0	4.98009494883333	4.06037560397373	3.67714384737954	0.756993328760391	0.796496670059374	0.0	0.0	1.58021520968991	284.257267096891	0.0	1.98481081907505	1.72129773732247	3.12603995443819	0.584771690634883	5.28241812908901	6.50017735269336	1.16912730108499	0.68100512125865	0.0	2.27790939716114	2.19327468131366	14.780279528219	1.78125565541371	0.0	1360.65957938561	4.00312830637832	1.45901623127793	0.0	1.41101184091825	2.11396411054199	27.3852701347849	2.22868828742699	2.2638887715371	4480.80609320336	2.1969474024361	1.11416696376438	2.18352196799354	0.0	2.6363039044493	0.0	0.0	14.5000815932023	3.46830837761729	4.57172245224019	0.0	0.0	2.04313028867814	0.949044267674832	1.63351202083417	0.0	42.4839037973237	0.0	2.89460366477012	4.4445900725707	5.00043292073227	7.30920878770914	4.84495776748941	0.0	4.74707222605717	3.68534992274295	1.08804660687154	5.96402952584508	3.58625207660362	4.39237503395585	7.31377035050955	0.0	2.74341749822237	5.34691192274584	15.3701039353083	1.89465983985601	0.0	5.07809049845063	6.16837525001293	0.798073302656333	6.22855221946092	5.70198763271578	4.45075704999856	0.0692104606879973	0.331783371251143	1.40301256965031	0.0	0.975753628205457	1.65626312303139	2.54536419627652	2.95794145868109	2.1211315590587	4.7691080162541	0.0	9.18252735815298	5.87344136567837	1.39930301917046	13.3235573714185	3.96101276223869	0.0	3.84462405724438	0.81220401320152	1.42865307219982	1.7307306198175	0.0	1.66940770685286	2.60970589354269	2.43470574717084	2.2771327751019	2.23959183397497	3.1690727712088
FOXG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.439230023487	439.633502717896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.59726280113539	0.0	0.0	0.0	0.0	0.0	0.0	3.44438368972703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KRT14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.608905888781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD28	929.674170395578	13.6706006434602	543.100153109208	0.0	1.68684436350662	0.505658104873008	1.91225158112456	1.43368785385195	1649.75521339903	2.9711178111052	6.62597266101706	339.391084536456	0.1884660341832	0.0	12.822218081747	37.1688906052121	825.933841012336	1012.36139553573	4.29858488378976	4.83601659705332	164.596628493508	137.813537722896	1.82692720029965	3.60924371847257	94.2720511227382	2.40105859849075	0.0	2.22145101853319	4.69690603808567	5.66671647768876	0.0	0.0	0.0	0.204650572346922	0.0	22.2618870003249	8.32723401511393	0.0	6.74808629717644	0.87877896097444	8.63479396917394	7.2668535336928	0.0	6.91690045033348	2.94394978710546	4.0188468925286	9.08072566502276	0.0	0.944992909122274	2.7228912885747	0.0	1.34898987008877	0.0	3.0271829909903	1.0431705975082	2.24550980877232	0.0	0.807978800735292	3.51313307716397	4.13198479007492	0.0	6.27973066859142	1.35031825205571	1.88451610984179	0.0	1.39783765466135	1.75167300759086	1.36378600096194	0.0	6.52459452241505	0.0	1.05665196927999	0.0	1.21436917227068	5.93484040428765	0.0	5.3951463023457	2.68294379806388	6.42772551869154	0.0075589225964331	17.3981308594931	0.0	2.46850643120524	4.86615611168343	5.86948377761966	0.724195435417276	5.19694867196385	3.61366499570485	8.30437353611453	6.13498969207929	0.818969713922277	3.47732912458938	3.25481519144289	3.50988820176905	0.0	0.0	0.33216625025697	0.0	1.68131347843422	9.23246544985735	0.0	3.0791466835611	1.46080015617624	2.84563436763149	1.37878207367605	1.6886332252335	1.11540706643787	2.23270091607552	0.447918366794993	27.2246599071026
AIRE	12.4281410432488	3.13619661820558	4.09979383620044	0.821958607134366	8.52468350264229	2.88947488498862	1.11197008241604	7.10206483158143	6.97875754514342	1.79674830222696	1.89428658800366	0.0	4.2622318499893	2.64929561816481	0.0	3.80642608191504	2.97613692750794	0.839205356896157	3.19059641732366	3.50921204350279	17.4243083336326	0.935301840867991	4.28247451253036	1.94064863254555	0.419614888950736	4.22493964926737	2.58460072593636	0.0	0.712428072988471	0.0	0.0	0.901303542188754	1.66400834833552	1.27098776510194	0.0	0.0	1.14104955892232	2.16012720284165	0.988695431876491	6.28249871222955	0.488669720949289	4.60965748798637	2.34575985245205	1.81415758373186	0.485751714872401	1.14171786719563	10.508263324153	3.32072078708039	1.59627180594979	0.0	0.0	3.32663521361696	0.0	0.0	1.05360230348328	2.45483699433584	1.97642271849419	3.13778175042832	3.96052580724122	1.49007416102259	1.53122540888178	0.131694131019025	0.0	0.0	2.79193175965375	0.740476163009795	0.0	0.0	0.0	3.99033975050597	1.435921369049	1.78370607658274	2.95487237835955	0.0	6.61480543392238	2.71920963523611	2.19860008274781	0.0	1.286983073653	0.453535355785989	12.8176912074272	3.40654097288351	4.03727687346651	0.884755656669714	1.28716749509203	0.834117956864541	3.67675280193361	9.49841806162699	2.85002168695055	0.0	0.0	0.0	2.98130130980903	2.69427449430836	0.0	1.84062166367807	6.15430247003886	5.774013628537	0.0	1.32179919594615	0.0	1.05596096640856	1.32583492435561	0.0	3.79165070260913	1.84214533661837	2.39872487405994	0.0	2.13759062173452	4.96773569540838
TLR4	0.0	0.0	2.98046401662391	0.0	0.0	0.0	0.0	19.1158380513594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.1497172007304	14.4057984573204	0.542049930503041	0.58933135493537	0.0	0.0	2.71273447425637	0.0	9.2338655240412	1.44618632780294	1.92488464480222	0.0	0.0	0.0	0.0	0.862217245914642	0.0	2.49088690947723	0.0	1.55503553363099	4.00075684864679	0.0	0.0	1.26963662034125	12.4952651553667	0.0	0.761145244797084	10.455391559	0.347885034836993	0.0	0.0	0.0	2.16100318994803	0.0	1.94465716765972	0.0	9.14379206029745	2.15942482205847	0.0	4.40791853731847	0.0	0.0	0.415876203217975	17.1129441844684	0.0	0.0	0.0	2.19257029521577	0.0	0.0	1.44496982608851	1.8692850254737	0.0	0.0	0.0	3.72330365741739	0.0	0.317055803895075	0.0	2.14257517289718	0.0	4.85375806751839	0.0	0.0	3.17564083911808	1.75054779332516	1.46778896285466	0.0	1.7064529146384	7.8719564525772	1.56504839083655	0.0	0.0	0.0	4.00475494562161	0.0	0.0	2.2698027100893	0.0	0.0	0.348901310605074	0.0	0.878488535079393	1.55606973157904	0.0	23.7366796213249	2.55853518974773	0.0	1.11079647565946	0.829314203867958	2.45939624329331
CITED2	0.615254507091525	0.0	0.662325337027535	0.0	0.0	0.0	0.0	62.3919714176313	7.20946027390849	0.370463567469477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.07113044036847	0.0	0.0	0.0	0.0	0.0	3.76987896428541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.35991936866403	0.679459769187964	0.0	19.7669420073803	0.0	0.0	0.0	0.0	12.270240032286	0.0	16.6082746843096	0.0	26.0792649377051	0.0	8.7841009710853	14.9044633145345	0.0	0.0	0.0	0.0	1.33694876441159	1.19273171508974	52.4024114888857	21.9120497217184	0.0	6.73474568376267	0.0	1.11151525083732	1.2936228549991	3.87762190561466	0.0	0.0	0.0	17.6381165528829	0.0	0.0	2.87593982939219	0.0	0.0	3.42365926922966	9.22806142506631	0.0	47.6251973184051	0.0	0.0	0.0	0.0	0.0	0.0	36.1977393210268	0.0	0.0	20.454770925248	0.0	0.922684028491583	0.0	0.0	3.35482029427956	17.5181257749347	0.0	22.2295675939863	0.0	0.675873565527474	0.0	8.99521827772478	0.0	13.2823317678317	0.0
GCM2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.766890002017875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.769005118755526	0.0	749.955269340421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ISL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	356.441109181364	0.0	0.0	0.0	0.0	0.0	1.0431705975082	4.75743603553457	0.0	0.0	0.0	0.914155927007727	0.0	0.0	2.67389752882318	0.0	2.57716777814192	689.111296110401	0.0	0.0	0.0	144.496982608851	0.0	0.0	9.38054723288745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2547447901753	147.40508718128	1.56504839083655	130.199805119364	0.0	0.0	0.0	84.7411938331705	0.0	0.0	76.8554715061239	0.0	12.0773530594064	0.0	55.0164537120428	0.0	46.4442914924311	0.0	0.0	11.9756339337443	0.0	32.374297798054	0.0
GATA3	1210.1071747279	40.2076489513536	52.3237016251752	85.9895158232875	1.06425511893162	0.849845554408418	4.21200788793955	0.0	0.720946027390849	104.837484958187	3.22431759660198	28.9319232620642	189.466353903096	0.0	26.393675998284	0.882138141811132	485.077469990334	21.6794717198174	1.02591524672787	11.1600383008923	233.04812759337	122.099403953312	93.6316560468984	182.390743287436	113.450164261619	95.8691906753157	0.649397167320693	1.02371014678949	177.680414610598	0.0	255.21548485905	73.1499946671425	292.18414305419	0.0	0.0	207.642361148025	0.0	6.6030089169832	0.0	0.770858737696877	1.95467888379716	2.88825657142003	171.330146165009	630.538665806431	854.054552988229	468.104325550207	343.164191725358	287.732549722451	1205.83649238892	1743.80449781674	1089.09883636569	2846.19836502991	149.474472158786	76.4833664040568	213.849972489181	548.056631293583	364.906194507169	958.686458208364	118.815774217237	580.443305853556	1013.20467543797	33.9632232628013	60.1626943985216	1298.88483773273	389.203877854993	291.656937675287	343.840303632887	2.525529631411	2373.03144976865	215.63395866244	357.052844208301	2296.86086551702	1458.81580292249	64.290132649624	372.396381764034	596.043402828524	140.310187313894	325.798010049712	1495.12921880526	145.486583213549	20.7345004826028	905.523640118553	552.284096187844	7.87590526517594	745.385824732844	568.364096189095	171.817486705744	6.27372395087648	5.89659659369079	309.879581385638	1058.10887038758	78.2748182462789	10.9405552653542	196.947799854357	1186.34749256306	95.7984374662855	2.86954732860882	261.190363933889	2.69010156549476	950.970779897662	0.0	1.7747243132917	3.17565251342661	636.515328848887	719.197061077785	1185.76592636453	274.624014018937	287.696287195801	507.345160013339	718.474069701194
GATA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.426603636520043	0.0	0.0	0.0	7.86145676378986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35891953837593	273.993406685905	386.128982685561	0.0	95.9319338489889	130.255779365503	599.57705526562	84.5649605225111	1.3096989029988	0.0	0.648219055886574	82.410477203148	0.951487207106915	287.313302595915	882.501117307965	0.0	0.914155927007727	0.0	149.022306153108	0.0	1167.68434907286	30.0669574116557	139.783765466135	33.3652001445879	268.362778633733	18.3015626414827	8.89212200669854	2.5872457099982	0.969405476403665	0.0	1.19055801203007	0.0	0.0	25.9881806471373	0.0	156.753100401021	6.06981484493583	464.716704452809	534.090845999827	0.0	7.10964366966735	0.0	43.9690085789061	16.9696283166166	0.0	0.0	0.0	22.9311519898238	0.0	0.0	0.0	17.5326607930698	0.0	36.8796806188086	0.0	0.0	6.03867652970321	4.77767066589129	14.1977945063336	0.793913128356653	73.7210976070334	0.0	54.7910310884476	5.40912459100517	25.5483189401676	19.0697918536482	873.648513270576
KRT18	0.0	2.29757994007735	0.0	1.12545101592244	0.0	0.424922777204209	0.0	0.0	0.367682473969333	0.0	22.5702231762138	0.0	1.44973872448616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.303364102486	108.409986100608	0.0	0.0	0.0	0.0	0.0	0.0	0.426603636520043	26.9843641794703	0.0	0.0	248.946130853346	0.538554137755058	0.0	0.0	0.0	1.41493048221069	0.0	0.770858737696877	0.0	0.0	23.5991936866403	1042.9911294966	39.7433221259237	1077.02052138787	171.833236747156	1114.47606402719	916.898525337558	213.683852778875	1591.28908528707	1977.6453435282	7.9087022306236	1091.95741059373	1056.73181527581	1008.50983542883	589.266773476972	1656.82720876991	1070.80882936522	6.39909148905409	833.800085930159	69.3127005363292	245.998572651733	13.1200488659871	666.62739861271	695.140887723481	128.694343414839	1922.76989271424	2683.24293654179	234.529717926674	1286.8183987818	218.116232190825	1847.96780487883	1597.97886932689	15.8438453507123	0.734921523036786	1457.318415605	71.8645660195682	857.030069158872	855.670037916233	1783.21416536858	677.884535307473	855.133692056145	466.17143581601	25.7433499018406	1.93980920201056	359.190466035052	131.748202968406	1849.575625882	128.333968048597	50.7761222631812	66.3345917341347	16.4108328980314	581.010214078742	423.705969165852	344.443820103498	7.38147222793267	1.97065311554164	2708.20594903054	299.920934308593	1786.02069946126	1410.32017004352	230.417407242951	504.989518608179	1498.60769810841	3.8378027846216	360.276482459433	816.457625539218	9.75663769256421	1031.69837035824
CD86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0431705975082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPCAM	1.23050901418305	126.366896704254	817.620758800381	12.0132411811946	758.28177223878	164.071182734089	53.0712993880384	24.2797693027335	1985.47814997412	5.18648994457267	44.3343669532772	4.73517565663898	930.710515039245	144.374458457789	14.4739513538977	1.3232072127167	351.486370025772	60.8423883749714	825.348815992568	1.2400042556547	15.9709517265193	51.016464047345	1031.46738178638	703.47001521184	325.415628165877	1.15435509542824	77.2782629111625	1.02371014678949	383.943272868038	370.585268064726	201.226770481049	1.99183103246134	79.9248104318636	187.41683993876	336.133423788043	85.3897189076663	314.152793456485	704.144870907088	398.357868183246	458.699491866527	305.418575593306	67.5852037712287	49.0863228682119	921.415392995798	1073.06969739994	273.281588691945	47.5845886376739	1023.43560460742	7.66210466855898	440.892000037426	830.748932485903	19.6454835449821	271.616469408537	497.812788349212	2346.7791663903	256.901545918867	751.992243966328	518.51843425828	421.986690454501	132.47033538269	15.5515080589556	82.4821136382317	947.896673967818	716.139976374182	592.636911702256	569.713292764679	344.972337209221	699.546452604534	1105.21103284954	121.155162341268	862.309590799574	1174.50259304639	4.69027361644372	13.0961381323308	4.62112156062442	143.309696992173	641.414286551995	11.977427669928	27.3214283792258	445.220540929913	411.862577768065	34.2365926922966	559.558884611271	920.76205205454	5.14866998036812	3.23301533668427	265.885793007522	10.0379583214024	6.87936269263925	268.812711610087	288.277339300642	524.392404129844	16.4108328980314	1060.31614809682	406.173308372783	1154.71561528884	158.683199219983	3.94130623108328	499.013840399278	295.801214987218	627.46741412039	1551.11792343851	1284.55144168106	1697.67892413381	13.5174713105495	2948.78856223995	601.510246231456	1103.94286140464	257.34905848264	3.67074066163181
CLDN3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34955007778393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.24109527943287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.693127005363292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SOX2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.8578654290046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.443483531480191	0.0
CD80	0.0	0.0	0.0	0.0	0.0	0.0	187.013150224516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LMO4	516.192378904719	0.0	0.0	0.0	0.0	0.0	86.7673624915548	0.0	0.0	12.2252977264927	0.0	0.0	0.0	14.0874471586085	68.1127122536362	16.7606246944115	0.0	0.0	3.0777457401836	0.0	91.0344248411601	0.0	47.8013210114245	0.0	0.0	0.0	0.0	0.0	2.13301818260021	0.0	0.0	0.0	0.0	0.0	0.0	0.605600843316782	0.0	0.0	0.0	106.378505802169	0.0	90.113605028305	0.0	0.0	209.020434884487	0.0	10.5743530305942	0.0	3.83105233427949	25.227317302755	1.53378000403575	995.777172939021	0.79087022306236	225.482998590145	5.21585298754101	0.951487207106915	0.732008414257108	1.56889087521416	301.241993482997	584.063363324507	3.58880955206668	6.93127005363292	2.67389752882318	1.19273171508974	39.5165725981761	1.51117584287713	0.595807145439069	0.841843210470334	5.23628042242422	2.22303050167463	43.3363656424698	2.90821642921099	4.69027361644372	169.05923770827	0.0	0.0	62.4236099144238	0.0	0.0	0.755892259643316	0.0	5.13548890384449	1.53801023751105	3.94980203870408	337.237883714112	0.646603067336854	84.1410737365576	5.01897916070119	1.96553219789693	41.0981707433679	0.0	0.0	5.47027763267712	1.8328397920465	5.84422026435658	1.07638693782343	5.5361041709495	4.92663278885409	10.760406261979	104.677102822111	0.0	0.0	190.539150805597	0.0	296.708495266561	0.0	3.59808731108991	38.8778766480812	0.0	257.673758644348
